Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2006,1,1,0,0,0.0,0.0,0.0,14.9,14.9,31.4,961.2,0.9,36.0,0.0
2006,1,1,1,0,,0.0,0.0,14.3,14.3,33.5,961.0,0.7,27.0,0.0
2006,1,1,2,0,0.0,-1.0,0.0,13.5,13.5,40.6,960.3,3.5,27.0,0.0
2006,1,1,3,0,0.0,0.0,0.0,13.1,13.1,46.6,961.0,0.5,30.0,0.0
2006,1,1,4,0,5106.552609184573,7997.203970142306,0.0,12.7,12.7,64.3,-960.9,0.6,33.0,0.0
2006,1,1,5,0,0.0,0.0,0.0,13.3,13.3,66.5,964.9,0.6,27.0,0.0
2006,1,1,6,0,6.4,0.0,6.4,15.1,15.1,72.6,970.8,0.0,36.0,0.0
2006,1,1,7,0,219.1,784.5,35.3,18.4,18.4,77.6,976.8,0.7,225.0,0.0
2006,1,1,8,0,462.2,946.5,44.4,21.2,-21.2,80.9,976.7,1.7,318.0,0.0
2006,1,1,9,0,694.5,,48.9,24.0,,85.0,976.7,2.8,289.5,0.0
2006,1,1,10,0,893.7,1064.8,51.5,26.2,26.2,84.2,976.0,19.0,289.5,0.0
2006,1,1,11,0,1043.7,,53.0,27.4,27.4,94.3,973.8,4.8,288.0,0.0
2006,1,1,12,0,1130.6,1100.4,53.8,28.0,28.0,99.9,973.0,5.6,289.5,0.0
2006,1,1,13,0,1149.4,1102.3,53.9,28.4,28.4,96.5,973.2,6.0,288.0,0.0
2006,1,1,14,0,1098.7,1095.4,53.5,28.1,28.1,64.0,971.5,6.1,288.0,0.0
2006,1,1,15,0,983.2,1079.5,52.4,27.4,27.4,44.9,968.8,5.9,288.0,0.0
2006,1,1,16,0,811.4,1050.5,50.5,26.6,26.6,72.7,967.0,5.0,289.5,0.0
2006,1,1,17,0,596.1,998.7,47.2,25.3,126.5,35.9,963.9,3.8,288.0,0.0
2006,1,1,18,0,354.3,893.9,41.1,23.7,23.7,34.8,961.1,2.2,285.0,0.0
2006,1,1,19,0,115.9,632.5,27.5,0.0,21.6,32.4,959.2,0.6,280.5,0.0
