Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,8657.65920806044,-1.0,8.6,8.6,7.6,770.7,14.5,97.5,0.0
2012,1,1,1,0,0.0,0.0,0.0,7.7,7.7,13.7,770.8,3.0,69.0,0.0
2012,1,1,2,0,0.0,0.0,0.0,7.0,7.0,21.1,770.6,3.2,64.5,0.0
2012,1,1,3,0,0.0,0.0,0.0,7.4,7.4,25.2,773.0,,70.5,0.0
2012,1,1,4,0,0.0,0.0,0.0,7.6,7.6,27.7,773.1,3.9,73.5,0.0
2012,1,1,5,0,0.0,0.0,0.0,9.1,9.1,34.2,778.0,4.2,78.0,0.0
2012,1,1,6,0,1.6,0.0,1.6,10.8,10.8,37.7,778.7,4.5,78.0,0.0
2012,1,1,7,0,225.3,860.1,29.5,14.5,14.5,43.6,,3.9,81.0,0.0
2012,1,1,8,0,487.5,1015.5,36.4,18.5,18.5,44.6,786.6,2.5,79.5,0.0
2012,1,1,9,0,733.5,1083.2,39.7,21.5,21.5,47.0,783.9,6.5,88.5,0.0
2012,1,1,10,0,940.8,1119.4,41.5,22.9,114.5,47.2,779.2,4.6,190.5,0.0
2012,1,1,11,0,1092.9,1139.5,42.5,23.1,23.1,46.4,777.2,7.4,238.5,0.0
2012,1,1,12,0,1176.3,1147.5,42.9,23.8,23.8,46.6,778.3,9.1,243.0,0.0
2012,1,1,13,0,1186.4,,43.0,24.3,24.3,43.2,779.0,9.5,246.0,0.0
2012,1,1,14,0,1122.3,1139.6,42.7,25.0,25.0,33.5,780.7,8.9,249.0,0.0
2012,1,1,15,0,988.0,1121.1,41.8,25.5,25.5,25.1,780.7,8.4,253.5,0.0
2012,1,1,16,0,795.0,1088.6,40.3,25.0,25.0,20.0,779.0,8.0,253.5,0.0
2012,1,1,17,0,558.8,1031.2,37.6,23.8,23.8,0.0,776.1,7.5,255.0,0.0
2012,1,1,18,0,301.4,917.6,32.2,21.5,21.5,16.7,772.9,6.5,253.5,0.0
