Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,,0.0,0.0,14.9,14.9,31.4,961.2,0.9,36.0,0.0
2014,1,1,1,0,,0.0,0.0,14.3,14.3,33.5,961.0,0.7,27.0,0.0
2014,1,1,2,0,,240.0,0.0,13.5,13.5,40.6,960.3,3.5,27.0,0.0
2014,1,1,3,0,,240.0,0.0,13.1,13.1,46.6,961.0,0.5,30.0,0.0
2014,1,1,4,0,241.28,240.0,1.2800000000000002,12.7,12.7,64.3,850.0,0.6,33.0,0.0
2014,1,1,5,0,285.1,396.9,8.34,13.3,13.3,66.5,964.9,0.6,27.0,0.0
2014,1,1,6,0,377.54,586.2,17.22,15.1,15.1,72.6,970.8,0.0,36.0,0.0
2014,1,1,7,0,276.44,648.6275,27.0,18.4,18.4,77.6,976.8,0.7,225.0,0.0
2014,1,1,8,0,455.18,711.0550000000001,37.3,21.2,-21.2,80.9,976.7,1.7,318.0,0.0
2014,1,1,9,0,662.64,773.4825000000001,46.620000000000005,24.0,2.5,85.0,976.7,2.8,289.5,0.0
2014,1,1,10,0,844.94,835.9100000000001,50.32,26.2,26.2,84.2,976.0,19.0,289.5,0.0
2014,1,1,11,0,982.38,898.3375000000001,52.220000000000006,27.4,27.4,94.3,973.8,4.8,288.0,0.0
2014,1,1,12,0,1063.22,960.7650000000001,53.14000000000001,28.0,28.0,99.9,973.0,5.6,289.5,0.0
2014,1,1,13,0,1081.1200000000001,1023.1925000000001,53.32000000000001,28.4,28.4,96.5,973.2,6.0,288.0,0.0
2014,1,1,14,0,1034.66,1085.6200000000001,52.82,28.1,28.1,64.0,971.5,6.1,288.0,0.0
2014,1,1,15,0,927.76,1065.2800000000002,51.5,27.4,27.4,44.9,968.8,5.9,288.0,0.0
2014,1,1,16,0,768.74,1023.6,48.94,26.6,26.6,72.7,967.0,5.0,289.5,0.0
2014,1,1,17,0,572.18,931.02,43.74,25.3,30.0,35.9,963.9,3.8,288.0,0.0
2014,1,1,18,0,375.54,715.12,33.260000000000005,23.7,23.7,34.8,961.1,2.2,285.0,0.0
2014,1,1,19,0,213.26000000000002,505.02,23.160000000000004,0.0,21.6,32.4,959.2,0.6,280.5,0.0
2014,1,1,20,0,94.04,305.28,13.72,19.7,19.7,29.1,959.8,0.3,255.0,0.0
2014,1,1,21,0,23.180000000000003,126.5,5.5,18.5,18.5,26.4,960.9,0.7,219.0,0.0
2014,1,1,22,0,0.0,240.0,0.0,17.8,17.8,24.8,961.5,1.4,39.0,0.0
2014,1,1,23,0,0.0,240.0,80.0,17.1,17.1,26.1,960.3,1.7,37.5,0.0
2014,1,2,0,0,0.0,240.0,80.0,16.4,16.4,27.5,959.5,9.5,37.5,0.0
2014,1,2,1,0,0.0,240.0,80.0,15.5,15.5,34.6,958.1,1.5,30.0,0.0
2014,1,2,2,0,0.0,240.0,80.0,14.3,30.0,28.6,956.7,1.3,30.0,0.0
2014,1,2,3,0,0.0,0.0,80.0,13.6,13.6,37.6,957.3,0.9,27.0,0.0
2014,1,2,4,0,1.16,0.0,1.16,12.8,12.8,65.5,1100.0,0.9,0.0,0.0
2014,1,2,5,0,44.46,156.26,8.200000000000001,13.5,13.5,65.8,850.0,3.0,34.5,0.0
2014,1,2,6,0,136.32000000000002,345.12,17.060000000000002,15.5,15.5,73.1,967.4,0.3,40.5,0.0
2014,1,2,7,0,274.44000000000005,548.96,26.840000000000003,18.7,18.7,78.0,972.2,0.8,37.5,0.0
2014,1,2,8,0,452.18000000000006,761.0400000000001,37.14,21.4,21.4,81.9,973.1,2.0,313.5,0.0
2014,1,2,9,0,658.46,977.7200000000001,46.580000000000005,23.9,23.9,86.1,973.3,3.2,289.5,0.0
2014,1,2,10,0,615.1600000000001,1040.3200000000002,50.28000000000001,25.9,25.9,85.9,973.1,4.2,291.0,0.0
2014,1,2,11,0,751.94,1070.68,52.2,27.3,27.3,96.4,971.1,5.3,291.0,0.0
2014,1,2,12,0,832.46,1084.7000000000003,53.120000000000005,-20.0,28.3,99.8,971.6,6.2,291.0,0.0
2014,1,2,13,0,850.52,1087.38,53.30000000000001,29.0,29.0,94.6,971.8,6.35,289.5,0.0
2014,1,2,14,0,744.3033333333333,1079.6200000000001,52.800000000000004,28.7,28.7,65.8,970.0,6.5,288.0,0.0
2014,1,2,15,0,638.0866666666667,1059.3,51.5,-20.0,28.1,40.8,967.9,6.1,288.0,0.0
2014,1,2,16,0,531.87,1018.68,40.72,27.5,27.5,67.2,967.1,5.0,289.5,0.0
2014,1,2,17,0,425.65333333333336,928.3600000000001,35.540000000000006,26.4,26.4,37.6,963.9,3.9,288.0,0.0
2014,1,2,18,0,319.4366666666667,713.6000000000001,25.060000000000002,24.7,24.7,35.7,961.3,2.4,286.5,0.0
2014,1,2,19,0,213.22000000000003,504.68000000000006,14.96,22.5,22.5,33.0,959.9,0.8,283.5,0.0
2014,1,2,20,0,94.46000000000001,306.14000000000004,5.5200000000000005,0.0,20.8,0.0,962.2,0.4,273.0,0.0
2014,1,2,21,0,23.480000000000004,127.54000000000002,5.5200000000000005,19.4,19.4,29.1,962.6,0.4,288.0,0.0
2014,1,2,22,0,0.0,0.0,0.0,18.6,18.6,28.4,964.7,0.7,6.0,0.0
2014,1,2,23,0,0.0,240.0,0.0,-17.9,17.9,29.7,964.9,0.9,24.0,0.0
2014,1,3,0,0,0.0,240.0,0.0,17.3,17.3,30.8,964.9,1.0,27.0,0.0
2014,1,3,1,0,0.0,240.0,0.0,16.8,16.8,39.3,964.8,0.8,21.0,0.0
2014,1,3,2,0,0.0,240.0,0.0,16.1,16.1,33.5,964.3,0.8,19.5,0.0
2014,1,3,3,0,0.0,240.0,0.0,14.8,14.8,39.2,962.0,0.6,15.0,0.0
2014,1,3,4,0,1.04,0.0,1.04,13.9,13.9,65.8,962.1,0.6,10.5,0.0
2014,1,3,5,0,13.380000000000003,1.54,13.02,13.5,30.0,65.0,963.9,0.2,7.5,0.0
2014,1,3,6,0,13.380000000000003,189.82,21.9,14.9,14.9,74.2,969.7,0.1,13.5,0.0
