timestamp,Power (kW),Hour
2014-01-01 00:00:00,0.0,0
2014-01-01 01:00:00,0.0,1
2014-01-01 02:00:00,0.0,2
2014-01-01 03:00:00,0.0,3
2014-01-01 04:00:00,0.0,4
2014-01-01 05:00:00,0.0,5
2014-01-01 06:00:00,345.94481873490884,6
2014-01-01 07:00:00,8968.57410921011,7
2014-01-01 08:00:00,18292.29540981891,8
2014-01-01 09:00:00,29152.68302834104,9
2014-01-01 10:00:00,34828.75784102392,10
2014-01-01 11:00:00,38476.31891209528,11
2014-01-01 12:00:00,40212.11664808642,12
2014-01-01 13:00:00,40192.06987238384,13
2014-01-01 14:00:00,38468.59146649018,14
2014-01-01 15:00:00,35288.20552357527,15
2014-01-01 16:00:00,30886.35101643261,16
2014-01-01 17:00:00,22649.418049973323,17
2014-01-01 18:00:00,12355.491234694156,18
2014-01-01 19:00:00,3357.793697113878,19
2014-01-01 20:00:00,0.0,20
2014-01-01 21:00:00,0.0,21
2014-01-01 22:00:00,0.0,22
2014-01-01 23:00:00,0.0,23
2014-01-02 00:00:00,0.0,0
2014-01-02 01:00:00,0.0,1
2014-01-02 02:00:00,0.0,2
2014-01-02 03:00:00,0.0,3
2014-01-02 04:00:00,0.0,4
2014-01-02 05:00:00,0.0,5
2014-01-02 06:00:00,1157.396334001182,6
2014-01-02 07:00:00,5630.59879204715,7
2014-01-02 08:00:00,5199.545198795744,8
2014-01-02 09:00:00,8400.815113685683,9
2014-01-02 10:00:00,11457.784213790592,10
2014-01-02 11:00:00,13427.168045010803,11
2014-01-02 12:00:00,15342.308111535074,12
2014-01-02 13:00:00,18160.18725874581,13
2014-01-02 14:00:00,22577.51679527722,14
2014-01-02 15:00:00,25246.88802618429,15
2014-01-02 16:00:00,25262.59856218997,16
2014-01-02 17:00:00,18078.863161243786,17
2014-01-02 18:00:00,10460.040553533,18
2014-01-02 19:00:00,2837.3444703699806,19
2014-01-02 20:00:00,0.0,20
2014-01-02 21:00:00,0.0,21
2014-01-02 22:00:00,0.0,22
2014-01-02 23:00:00,0.0,23
2014-01-03 00:00:00,0.0,0
2014-01-03 01:00:00,0.0,1
2014-01-03 02:00:00,0.0,2
2014-01-03 03:00:00,0.0,3
2014-01-03 04:00:00,0.0,4
2014-01-03 05:00:00,0.0,5
2014-01-03 06:00:00,227.32216224419835,6
2014-01-03 07:00:00,8904.901344657043,7
2014-01-03 08:00:00,14416.273849707968,8
2014-01-03 09:00:00,19702.62371259089,9
2014-01-03 10:00:00,19610.238115784166,10
2014-01-03 11:00:00,21255.19566240444,11
2014-01-03 12:00:00,24795.92731352261,12
2014-01-03 13:00:00,24188.07446143762,13
2014-01-03 14:00:00,27575.41011861261,14
2014-01-03 15:00:00,28919.25407465604,15
2014-01-03 16:00:00,19941.182170544544,16
2014-01-03 17:00:00,13728.616617061492,17
2014-01-03 18:00:00,8544.77271817972,18
2014-01-03 19:00:00,3083.3128262034484,19
2014-01-03 20:00:00,0.0,20
2014-01-03 21:00:00,0.0,21
2014-01-03 22:00:00,0.0,22
2014-01-03 23:00:00,0.0,23
2014-01-04 00:00:00,0.0,0
2014-01-04 01:00:00,0.0,1
2014-01-04 02:00:00,0.0,2
2014-01-04 03:00:00,0.0,3
2014-01-04 04:00:00,0.0,4
2014-01-04 05:00:00,0.0,5
2014-01-04 06:00:00,408.8819324320061,6
2014-01-04 07:00:00,7114.997602746987,7
2014-01-04 08:00:00,13272.299793939786,8
2014-01-04 09:00:00,21331.075806026005,9
2014-01-04 10:00:00,26898.1399853454,10
2014-01-04 11:00:00,34242.38889232721,11
2014-01-04 12:00:00,40631.1499598141,12
2014-01-04 13:00:00,40811.17980185555,13
2014-01-04 14:00:00,39269.43929271949,14
2014-01-04 15:00:00,30627.949730644203,15
2014-01-04 16:00:00,20984.882798256327,16
2014-01-04 17:00:00,14702.604815283585,17
2014-01-04 18:00:00,7254.129885863143,18
2014-01-04 19:00:00,2241.8980150266334,19
2014-01-04 20:00:00,0.0,20
2014-01-04 21:00:00,0.0,21
2014-01-04 22:00:00,0.0,22
2014-01-04 23:00:00,0.0,23
2014-01-05 00:00:00,0.0,0
2014-01-05 01:00:00,0.0,1
2014-01-05 02:00:00,0.0,2
2014-01-05 03:00:00,0.0,3
2014-01-05 04:00:00,0.0,4
2014-01-05 05:00:00,0.0,5
2014-01-05 06:00:00,445.9613625431856,6
2014-01-05 07:00:00,6828.719525229765,7
2014-01-05 08:00:00,14463.954538154176,8
2014-01-05 09:00:00,21222.302283162942,9
2014-01-05 10:00:00,27698.046417615264,10
2014-01-05 11:00:00,28037.00013406366,11
2014-01-05 12:00:00,32360.1135983886,12
2014-01-05 13:00:00,32633.20392131668,13
2014-01-05 14:00:00,31577.16494755712,14
2014-01-05 15:00:00,29277.537720185974,15
2014-01-05 16:00:00,24537.40542208372,16
2014-01-05 17:00:00,17372.80455254706,17
2014-01-05 18:00:00,12208.798784340572,18
2014-01-05 19:00:00,3570.4995242575324,19
2014-01-05 20:00:00,0.0,20
2014-01-05 21:00:00,0.0,21
2014-01-05 22:00:00,0.0,22
2014-01-05 23:00:00,0.0,23
2014-01-06 00:00:00,0.0,0
2014-01-06 01:00:00,0.0,1
2014-01-06 02:00:00,0.0,2
2014-01-06 03:00:00,0.0,3
2014-01-06 04:00:00,0.0,4
2014-01-06 05:00:00,0.0,5
2014-01-06 06:00:00,90.28854766828816,6
2014-01-06 07:00:00,5865.070819129003,7
2014-01-06 08:00:00,13506.5441504587,8
2014-01-06 09:00:00,22609.341538670385,9
2014-01-06 10:00:00,28487.798361632533,10
2014-01-06 11:00:00,38828.70080634778,11
2014-01-06 12:00:00,41267.09218208558,12
2014-01-06 13:00:00,41493.74470818238,13
2014-01-06 14:00:00,39895.24115421687,14
