timestamp,Power (kW),Hour
2014-01-01 00:00:00,0.0,0
2014-01-01 01:00:00,0.0,1
2014-01-01 02:00:00,0.0,2
2014-01-01 03:00:00,0.0,3
2014-01-01 04:00:00,0.0,4
2014-01-01 05:00:00,0.0,5
2014-01-01 06:00:00,1060.476272271197,6
2014-01-01 07:00:00,10155.17013559167,7
2014-01-01 08:00:00,19930.67718876953,8
2014-01-01 09:00:00,30510.96333829928,9
2014-01-01 10:00:00,29736.68025694832,10
2014-01-01 11:00:00,33325.18253553215,11
2014-01-01 12:00:00,26964.58053726192,12
2014-01-01 13:00:00,27105.211974897866,13
2014-01-01 14:00:00,25947.20735950475,14
2014-01-01 15:00:00,30968.404907063898,15
2014-01-01 16:00:00,26287.553423533784,16
2014-01-01 17:00:00,27169.73231783274,17
2014-01-01 18:00:00,15779.629259686391,18
2014-01-01 19:00:00,6272.980969419603,19
2014-01-01 20:00:00,0.0,20
2014-01-01 21:00:00,0.0,21
2014-01-01 22:00:00,0.0,22
2014-01-01 23:00:00,0.0,23
2014-01-02 00:00:00,0.0,0
2014-01-02 01:00:00,0.0,1
2014-01-02 02:00:00,0.0,2
2014-01-02 03:00:00,0.0,3
2014-01-02 04:00:00,0.0,4
2014-01-02 05:00:00,0.0,5
2014-01-02 06:00:00,982.7028339578856,6
2014-01-02 07:00:00,10014.127948411116,7
2014-01-02 08:00:00,20041.07518062793,8
2014-01-02 09:00:00,30476.29006431766,9
2014-01-02 10:00:00,33281.03195265385,10
2014-01-02 11:00:00,40812.799252366654,11
2014-01-02 12:00:00,41666.66666666667,12
2014-01-02 13:00:00,41666.66666666667,13
2014-01-02 14:00:00,34192.804599887255,14
2014-01-02 15:00:00,31079.813226833496,15
2014-01-02 16:00:00,26688.280625499625,16
2014-01-02 17:00:00,19952.51541292813,17
2014-01-02 18:00:00,10440.191497835289,18
2014-01-02 19:00:00,5481.212734809358,19
2014-01-02 20:00:00,0.0,20
2014-01-02 21:00:00,0.0,21
2014-01-02 22:00:00,0.0,22
2014-01-02 23:00:00,0.0,23
2014-01-03 00:00:00,0.0,0
2014-01-03 01:00:00,0.0,1
2014-01-03 02:00:00,0.0,2
2014-01-03 03:00:00,0.0,3
2014-01-03 04:00:00,0.0,4
2014-01-03 05:00:00,0.0,5
2014-01-03 06:00:00,919.5278637981988,6
2014-01-03 07:00:00,10054.002224123647,7
2014-01-03 08:00:00,19858.80004432398,8
2014-01-03 09:00:00,30672.61199516536,9
2014-01-03 10:00:00,36571.72873789767,10
2014-01-03 11:00:00,40716.13651903336,11
2014-01-03 12:00:00,41666.66666666667,12
2014-01-03 13:00:00,41666.66666666667,13
2014-01-03 14:00:00,41666.66666666667,14
2014-01-03 15:00:00,38318.24418700666,15
2014-01-03 16:00:00,32834.45224294605,16
2014-01-03 17:00:00,25071.06636741748,17
2014-01-03 18:00:00,14338.2442630095,18
2014-01-03 19:00:00,5813.900540161505,19
2014-01-03 20:00:00,0.0,20
2014-01-03 21:00:00,0.0,21
2014-01-03 22:00:00,0.0,22
2014-01-03 23:00:00,0.0,23
2014-01-04 00:00:00,0.0,0
2014-01-04 01:00:00,0.0,1
2014-01-04 02:00:00,0.0,2
2014-01-04 03:00:00,0.0,3
2014-01-04 04:00:00,0.0,4
2014-01-04 05:00:00,0.0,5
2014-01-04 06:00:00,805.112689196937,6
2014-01-04 07:00:00,9442.558446721005,7
2014-01-04 08:00:00,18384.71978433626,8
2014-01-04 09:00:00,29177.15019297498,9
2014-01-04 10:00:00,32119.8049665822,10
2014-01-04 11:00:00,39979.50638502906,11
2014-01-04 12:00:00,41666.66666666667,12
2014-01-04 13:00:00,41666.66666666667,13
2014-01-04 14:00:00,41666.66666666667,14
2014-01-04 15:00:00,37655.61948857168,15
2014-01-04 16:00:00,32349.133927022303,16
2014-01-04 17:00:00,24734.27794649394,17
2014-01-04 18:00:00,17921.11005594456,18
2014-01-04 19:00:00,7469.848105979622,19
2014-01-04 20:00:00,0.0,20
2014-01-04 21:00:00,0.0,21
2014-01-04 22:00:00,0.0,22
2014-01-04 23:00:00,0.0,23
2014-01-05 00:00:00,0.0,0
2014-01-05 01:00:00,0.0,1
2014-01-05 02:00:00,0.0,2
2014-01-05 03:00:00,0.0,3
2014-01-05 04:00:00,0.0,4
2014-01-05 05:00:00,0.0,5
2014-01-05 06:00:00,968.3638374596396,6
2014-01-05 07:00:00,11774.652830215044,7
2014-01-05 08:00:00,22285.36519276648,8
2014-01-05 09:00:00,28293.475411071788,9
2014-01-05 10:00:00,34723.04470317761,10
2014-01-05 11:00:00,39376.35464397063,11
2014-01-05 12:00:00,41666.66666666667,12
2014-01-05 13:00:00,41666.66666666667,13
2014-01-05 14:00:00,41023.14280359639,14
2014-01-05 15:00:00,37507.79176413123,15
2014-01-05 16:00:00,32190.08663811864,16
2014-01-05 17:00:00,24515.209712560725,17
2014-01-05 18:00:00,13868.312942371078,18
2014-01-05 19:00:00,5358.848674672662,19
2014-01-05 20:00:00,0.0,20
2014-01-05 21:00:00,0.0,21
2014-01-05 22:00:00,0.0,22
2014-01-05 23:00:00,0.0,23
2014-01-06 00:00:00,0.0,0
2014-01-06 01:00:00,0.0,1
2014-01-06 02:00:00,0.0,2
2014-01-06 03:00:00,0.0,3
2014-01-06 04:00:00,0.0,4
2014-01-06 05:00:00,0.0,5
2014-01-06 06:00:00,754.1285358722299,6
2014-01-06 07:00:00,10159.557362040145,7
2014-01-06 08:00:00,19952.609205669603,8
2014-01-06 09:00:00,30979.83591435725,9
2014-01-06 10:00:00,29001.67748634161,10
2014-01-06 11:00:00,32529.00201089765,11
2014-01-06 12:00:00,34658.3557990561,12
2014-01-06 13:00:00,26888.237237012727,13
2014-01-06 14:00:00,25838.332041006848,14
