Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,0.0,,0.0,4.7,4.7,40.4,850.0,0.0,181.5,500.0
2014,1,1,1,0,0.0,,0.0,3.8,3.8,46.9,850.0,2.7,181.5,250.0
2014,1,1,2,0,52.326666666666675,,0.0,2.9,2.9,53.1,850.0,2.8,157.5,0.0
2014,1,1,3,0,104.65333333333335,,0.0,1.9,1.9,45.4,850.0,3.0,142.5,0.0
2014,1,1,4,0,156.98000000000002,,1.34,0.6,-0.6,46.4,850.0,3.2,136.5,0.0
2014,1,1,5,0,209.3066666666667,194.22000000000003,6.5600000000000005,2.5,2.5,46.1,850.0,2.9,115.5,0.0
2014,1,1,6,0,261.6333333333334,413.9200000000001,12.760000000000002,4.9,4.9,47.7,850.0,2.1,111.0,0.0
2014,1,1,7,0,313.96000000000004,643.74,19.44,8.5,8.5,48.8,850.0,2.5,136.5,0.0
2014,1,1,8,0,509.6600000000001,878.62,26.360000000000003,12.0,12.0,48.7,850.0,2.85,141.0,0.0
2014,1,1,9,0,733.82,1116.02,32.080000000000005,14.2,14.2,49.6,850.0,3.2,169.5,0.0
2014,1,1,10,0,921.62,921.8,33.980000000000004,15.5,15.5,0.0,850.0,5.7,240.0,0.0
2014,1,1,11,0,1055.94,939.6600000000001,34.92,15.0,15.0,0.0,850.0,7.3,267.0,0.0
2014,1,1,12,0,1132.0800000000002,709.84,35.32,14.5,14.5,48.6,850.0,7.7,273.0,0.0
2014,1,1,13,0,1141.4,707.88,35.36,14.1,14.1,48.7,850.0,7.8,271.5,0.0
2014,1,1,14,0,1083.26,698.24,35.06,13.6,13.6,40.4,850.0,7.5,274.5,0.0
2014,1,1,15,0,964.0,916.66,34.32,13.2,13.2,34.4,850.0,6.5,273.0,0.0
2014,1,1,16,0,964.0,879.2399999999999,32.81999999999999,12.9,12.9,30.0,850.0,5.2,270.0,0.0
2014,1,1,17,0,751.18,1119.2399999999998,29.36,12.4,0.0,43.1,850.0,3.7,267.0,0.0
2014,1,1,18,0,546.16,886.3199999999999,22.400000000000002,11.1,11.1,56.3,850.0,1.8,276.0,0.0
2014,1,1,19,0,378.8,658.56,15.64,9.8,9.8,64.5,850.0,1.7,277.5,0.0
2014,1,1,20,0,258.06,548.8,9.260000000000002,8.7,8.7,73.0,850.0,3.5,9.0,0.0
2014,1,1,21,0,18.06,439.03999999999996,3.6200000000000006,7.7,7.7,71.7,850.0,3.9,18.0,0.0
