TMY3 data for calama
calama, -22.47, -68.93, -4, 0, TMY3, W/m2, C, %, m/s, deg, mm
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,DryBulb,DewPoint,RelativeHumidity,Pressure,WindSpeed,WindDirection
2014,1,1,0,0,0.0,240.0,0.0,8.6,8.6,7.6,850.0,14.5,97.5
2014,1,1,1,0,0.0,240.0,0.0,7.7,7.7,13.7,850.0,3.0,69.0
2014,1,1,2,0,0.0,240.0,0.0,7.0,7.0,21.1,850.0,3.2,64.5
2014,1,1,3,0,0.0,0.0,0.0,7.4,7.4,25.2,850.0,3.55,70.5
2014,1,1,4,0,0.32,0.0,0.32,7.6,7.6,27.7,850.0,3.9,73.5
2014,1,1,5,0,45.38,172.02,6.220000000000001,9.1,9.1,34.2,850.0,4.2,78.0
2014,1,1,6,0,142.88,375.12,13.5,10.8,10.8,37.7,850.0,4.5,78.0
2014,1,1,7,0,289.58000000000004,591.76,21.44,14.5,14.5,43.6,850.0,3.9,81.0
2014,1,1,8,0,477.74,815.64,29.74,18.5,18.5,44.6,850.0,2.5,79.5
2014,1,1,9,0,696.0,1043.54,37.92,21.5,21.5,47.0,850.0,6.5,88.5
2014,1,1,10,0,886.2,1101.02,40.6,22.9,30.0,47.2,850.0,4.6,190.5
2014,1,1,11,0,1025.98,1094.12,41.92,23.1,23.1,46.4,850.0,7.4,238.5
2014,1,1,12,0,1103.74,1087.22,42.52,23.8,23.8,46.6,850.0,9.1,243.0
2014,1,1,13,0,1113.1800000000003,1080.3200000000002,42.58,24.3,24.3,43.2,850.0,9.5,246.0
2014,1,1,14,0,1053.6,1073.42,42.14,25.0,25.0,33.5,850.0,8.9,249.0
2014,1,1,15,0,930.1,1066.52,41.080000000000005,25.5,25.5,25.1,850.0,8.4,253.5
2014,1,1,16,0,753.1,1059.62,38.92,25.0,25.0,20.0,850.0,8.0,253.5
2014,1,1,17,0,539.28,935.54,33.6,23.8,23.8,0.0,850.0,7.5,255.0
2014,1,1,18,0,341.67999999999995,711.32,25.24,21.5,21.5,16.7,850.0,6.5,253.5
2014,1,1,19,0,182.68,493.6,17.18,18.8,18.8,14.6,850.0,5.2,253.5
2014,1,1,20,0,70.92,287.36,9.660000000000002,16.7,16.7,12.5,850.0,3.2,256.5
2014,1,1,21,0,10.64,103.84000000000002,3.2200000000000006,15.1,15.1,12.6,850.0,1.7,256.5
2014,1,1,22,0,0.0,0.0,0.0,13.4,13.4,100.0,850.0,1.3,244.5
2014,1,1,23,0,0.0,0.0,0.0,11.6,11.6,16.0,850.0,2.4,228.0
2014,1,2,0,0,0.0,0.2766666666666666,0.0,10.5,10.5,21.2,850.0,2.9,135.0
2014,1,2,1,0,0.0,0.5533333333333333,0.0,10.0,10.0,0.0,850.0,3.0,75.0
2014,1,2,2,0,0.0,0.8300000000000001,0.0,9.6,9.6,33.2,850.0,3.4,63.0
2014,1,2,3,0,0.0,1.106666666666667,0.0,10.0,10.0,34.7,850.0,3.4,73.5
2014,1,2,4,0,0.02,1.3833333333333333,0.02,10.2,10.2,36.2,850.0,3.6,79.5
2014,1,2,5,0,15.72,1.66,15.34,10.6,10.6,38.0,850.0,3.3,82.5
2014,1,2,6,0,59.66,3.640000000000001,58.400000000000006,11.7,11.7,43.8,850.0,3.3,82.5
2014,1,2,7,0,141.36,6.120000000000001,138.4,14.5,14.5,49.6,850.0,3.0,84.0
2014,1,2,8,0,261.52,11.86,138.4,17.7,17.7,52.4,850.0,1.4,82.5
2014,1,2,9,0,414.18,22.840000000000003,218.38,20.2,20.2,0.0,850.0,2.0,97.5
2014,1,2,10,0,574.4200000000001,38.3,283.06,21.6,21.6,49.9,850.0,5.0,228.0
2014,1,2,11,0,708.94,54.22000000000001,320.0,22.0,22.0,47.4,850.0,7.3,360.0
2014,1,2,12,0,776.5200000000001,101.44,320.0,22.7,22.7,47.9,850.0,8.1,247.5
2014,1,2,13,0,757.4200000000001,99.08,400.0,23.4,23.4,46.8,850.0,8.9,249.0
2014,1,2,14,0,760.26,300.54,328.0,24.3,30.0,38.9,850.0,8.1,255.0
2014,1,2,15,0,693.4000000000001,483.98,255.44,24.7,24.7,31.0,850.0,8.0,258.0
2014,1,2,16,0,573.82,644.2,181.82,24.3,24.3,27.0,850.0,7.5,255.0
2014,1,2,17,0,434.98,594.5,105.04,22.7,22.7,25.7,850.0,6.7,252.0
2014,1,2,18,0,333.92,591.12,25.04,20.3,20.3,23.8,850.0,5.7,249.0
2014,1,2,19,0,178.39999999999998,378.68,17.04,18.3,18.3,21.9,1100.0,5.4,249.0
2014,1,2,20,0,69.32,178.12,9.6,16.4,16.4,20.8,850.0,3.8,253.5
2014,1,2,21,0,10.44,0.0,3.2200000000000006,14.9,14.9,20.0,850.0,2.4,249.0
2014,1,2,22,0,0.0,0.0,0.0,13.2,13.2,21.5,850.0,1.5,240.0
2014,1,2,23,0,0.0,0.0,0.0,11.6,11.6,25.9,850.0,0.7,232.5
2014,1,3,0,0,0.0,0.0,0.0,10.3,10.3,30.2,1100.0,1.2,205.5
2014,1,3,1,0,0.0,59.77666666666667,0.0,9.4,9.4,39.1,850.0,1.4,106.5
2014,1,3,2,0,0.0,119.55333333333334,0.0,9.8,9.8,50.2,850.0,2.0,0.0
2014,1,3,3,0,0.0,179.33,0.0,10.8,10.8,55.8,850.0,2.4,76.5
2014,1,3,4,0,0.12,239.10666666666668,0.12,10.7,10.7,49.0,850.0,2.3,81.0
2014,1,3,5,0,42.3,298.8833333333333,5.9,10.7,10.7,44.1,850.0,2.4,84.0
2014,1,3,6,0,135.60000000000002,358.66,13.1,12.3,12.3,52.05,850.0,2.5,82.5
2014,1,3,7,0,219.06000000000003,361.2600000000001,93.1,15.3,15.3,60.0,850.0,2.3,79.5
2014,1,3,8,0,342.42,367.4800000000001,173.1,18.8,18.8,72.9,1100.0,1.0,84.0
2014,1,3,9,0,499.54,379.62000000000006,252.98,20.5,20.5,80.0,850.0,3.0,117.0
2014,1,3,10,0,634.9200000000001,234.26,327.2,22.1,-22.1,72.7,850.0,6.1,237.0
2014,1,3,11,0,772.52,261.72,328.54,22.2,22.2,65.4,850.0,8.1,244.5
2014,1,3,12,0,907.56,480.56000000000006,257.0,23.3,23.3,64.7,850.0,0.0,247.5
2014,1,3,13,0,976.78,474.34,185.3,24.3,24.3,59.5,850.0,9.0,249.0
2014,1,3,14,0,974.6,673.6800000000001,113.28,25.4,25.4,46.5,850.0,8.55,250.5
2014,1,3,15,0,906.04,855.9600000000002,40.7,24.5,24.5,36.7,850.0,8.1,252.0
2014,1,3,16,0,697.2200000000001,634.6400000000001,53.72,24.0,24.0,31.7,850.0,7.4,249.0
2014,1,3,17,0,489.02,509.62000000000006,48.440000000000005,22.5,22.35,29.5,850.0,6.9,249.0
2014,1,3,18,0,407.51666666666665,424.6833333333334,40.14000000000001,20.7,20.7,27.1,850.0,5.5,246.0
2014,1,3,19,0,326.0133333333333,339.74666666666667,32.160000000000004,19.5,19.5,26.3,850.0,4.9,247.5
2014,1,3,20,0,244.51,254.81,24.74,18.4,18.4,25.5,850.0,2.8,259.5
2014,1,3,21,0,163.00666666666666,169.8733333333333,3.18,17.1,17.1,23.8,850.0,1.6,255.0
2014,1,3,22,0,81.50333333333333,84.93666666666667,0.0,16.3,16.3,25.4,850.0,1.3,247.5
2014,1,3,23,0,0.0,0.0,0.0,15.6,15.6,29.5,850.0,0.9,219.0
2014,1,4,0,0,0.0,0.0,0.0,15.0,15.0,32.0,850.0,1.2,208.5
2014,1,4,1,0,0.0,0.0,0.0,14.6,14.6,39.6,1100.0,1.3,117.0
2014,1,4,2,0,0.0,0.0,0.0,13.9,13.9,49.4,850.0,1.5,123.0
2014,1,4,3,0,0.0,0.0,0.0,13.3,13.3,53.0,850.0,1.7,99.0
2014,1,4,4,0,0.04,0.0,0.04,12.2,12.2,46.2,850.0,1.5,93.0
2014,1,4,5,0,18.0,1.62,17.64,11.0,11.0,42.8,850.0,1.7,93.0
2014,1,4,6,0,18.0,196.56000000000003,24.8,12.0,12.0,49.9,850.0,2.0,85.5
2014,1,4,7,0,105.86,199.52000000000004,104.8,14.2,14.2,100.0,850.0,1.9,85.5
2014,1,4,8,0,287.5,416.36000000000007,113.0,17.2,17.2,66.8,850.0,0.9,88.5
2014,1,4,9,0,499.18000000000006,637.44,112.96,19.3,19.3,74.3,850.0,2.5,130.5
2014,1,4,10,0,709.78,858.8200000000002,103.88,50.0,20.8,70.9,850.0,5.2,234.0
2014,1,4,11,0,949.78,887.0800000000002,105.24,20.9,20.9,65.9,850.0,7.5,243.0
2014,1,4,12,0,1080.86,1105.9,33.7,22.0,22.0,66.8,850.0,8.6,249.0
2014,1,4,13,0,1092.42,1107.4400000000005,33.8,23.0,23.0,63.4,850.0,8.6,250.5
2014,1,4,14,0,1036.48,1098.52,41.78,24.0,24.0,50.7,850.0,8.1,253.5
2014,1,4,15,0,842.4200000000001,877.54,66.74000000000001,23.9,23.9,41.1,850.0,8.0,253.5
2014,1,4,16,0,608.5000000000001,656.1,63.78,23.5,23.5,37.2,850.0,7.4,252.0
2014,1,4,17,0,400.08,531.86,58.540000000000006,22.1,22.1,34.8,850.0,6.6,250.5
2014,1,4,18,0,206.88,313.48,50.24000000000001,19.9,19.9,30.7,850.0,5.9,246.0
2014,1,4,19,0,51.1,101.32,42.260000000000005,0.0,18.0,0.0,850.0,4.8,250.5
2014,1,4,20,0,16.6,99.3,8.780000000000001,16.8,16.8,24.9,850.0,3.2,252.75
2014,1,4,21,0,250.52,97.54,3.2200000000000006,15.5,15.5,21.5,850.0,1.4,255.0
2014,1,4,22,0,240.0,0.0,0.0,15.0,15.0,21.3,850.0,1.0,249.0
2014,1,4,23,0,240.0,0.0,0.0,14.7,30.0,24.3,850.0,1.1,210.0
2014,1,5,0,0,240.0,0.0,0.0,14.1,14.1,28.0,850.0,1.4,193.5
2014,1,5,1,0,240.0,0.0,0.0,13.7,13.7,35.7,850.0,1.1,82.5
2014,1,5,2,0,0.0,0.0,0.0,0.0,13.0,44.6,850.0,1.4,88.5
2014,1,5,3,0,0.0,0.0,0.0,12.7,12.7,48.4,850.0,2.0,97.5
2014,1,5,4,0,0.0,0.0,0.0,11.9,11.9,43.9,850.0,1.7,84.0
2014,1,5,5,0,19.02,1.6,18.680000000000003,11.1,11.1,41.9,850.0,1.8,87.0
2014,1,5,6,0,111.22,196.52,25.860000000000003,0.0,12.8,48.1,850.0,1.8,84.0
2014,1,5,7,0,251.8,405.9,33.72,15.3,15.3,0.0,850.0,1.5,88.5
2014,1,5,8,0,433.42,623.02,41.96,18.0,18.0,62.4,850.0,1.0,100.5
2014,1,5,9,0,645.34,844.48,50.400000000000006,50.0,19.5,100.0,850.0,3.5,193.5
2014,1,5,10,0,855.5200000000001,847.98,40.28,21.0,21.0,69.1,850.0,6.0,238.5
2014,1,5,11,0,995.4,851.48,41.68,21.2,21.2,65.4,850.0,0.0,244.5
2014,1,5,12,0,1075.16,854.98,42.32,21.8,21.8,66.0,850.0,8.6,249.0
2014,1,5,13,0,1088.46,858.48,42.42,22.6,22.6,62.3,850.0,8.8,250.5
2014,1,5,14,0,1034.2200000000005,861.98,42.040000000000006,23.4,23.4,50.0,850.0,8.4,252.0
2014,1,5,15,0,805.0200000000002,865.48,41.00000000000001,23.9,23.9,42.2,850.0,8.1,249.0
2014,1,5,16,0,632.86,820.6999999999999,38.84000000000001,23.5,23.5,40.7,850.0,7.7,250.5
2014,1,5,17,0,423.36,697.6,33.620000000000005,22.3,22.3,39.3,850.0,7.4,250.5
2014,1,5,18,0,228.44000000000003,697.6,25.280000000000005,20.2,20.2,34.6,850.0,6.5,247.5
2014,1,5,19,0,70.76,483.14,17.220000000000002,17.9,17.9,31.6,850.0,5.3,249.0
2014,1,5,20,0,70.76,279.36,9.7,15.9,15.9,29.4,1100.0,3.7,256.5
2014,1,5,21,0,10.840000000000002,99.96,3.28,14.0,14.0,24.4,850.0,2.5,258.0
2014,1,5,22,0,0.0,0.0,0.0,12.5,12.5,23.4,850.0,1.3,244.5
2014,1,5,23,0,0.0,0.0,0.0,11.1,11.1,25.2,850.0,1.1,231.0
2014,1,6,0,0,0.0,0.0,0.0,10.1,10.1,27.6,1100.0,1.7,202.5
2014,1,6,1,0,0.0,0.0,0.0,9.1,9.1,34.1,850.0,2.1,82.5
2014,1,6,2,0,0.0,0.0,0.0,8.4,8.4,40.8,1100.0,2.5,63.0
2014,1,6,3,0,0.0,0.0,0.0,7.9,7.9,43.5,850.0,2.6,69.0
2014,1,6,4,0,0.0,0.0,0.0,6.9,6.9,41.2,850.0,2.6,76.5
