Parametro,Valor,LCOE
capital_cost,2500000.0,0.2515313742920673
capital_cost,2750000.0,0.26626518901974433
capital_cost,3000000.0,0.2809990037474213
capital_cost,3250000.0,0.29573281847509836
capital_cost,3500000.0,0.31046663320277534
fixed_operating_cost,80000.0,0.26416035834436186
fixed_operating_cost,90000.0,0.2725796810458916
fixed_operating_cost,100000.0,0.2809990037474213
fixed_operating_cost,110000.0,0.28941832644895105
fixed_operating_cost,120000.0,0.2978376491504808
variable_operating_cost,0.015,0.2759990037474213
variable_operating_cost,0.0175,0.2784990037474213
variable_operating_cost,0.02,0.2809990037474213
variable_operating_cost,0.0225,0.2834990037474213
variable_operating_cost,0.025,0.2859990037474213
fixed_charge_rate,0.05,0.230483067538243
fixed_charge_rate,0.06,0.2557410356428322
fixed_charge_rate,0.07,0.2809990037474213
fixed_charge_rate,0.08,0.3062569718520105
fixed_charge_rate,0.09,0.33151493995659964
dc_ac_ratio,1.1,0.2812291254796326
dc_ac_ratio,1.1500000000000001,0.28110901915748876
dc_ac_ratio,1.2000000000000002,0.2809990037474213
dc_ac_ratio,1.25,0.28089787141775374
dc_ac_ratio,1.3,0.280804550771003
losses,12.0,0.26902571913948814
losses,14.0,0.27487181968354746
losses,16.0,0.2809990037474213
losses,18.0,0.28742804263891253
losses,20.0,0.29418180594234744
