Parametro,Valor,LCOE
capital_cost,2500000.0,0.19570205633586957
capital_cost,2750000.0,0.20688309628451582
capital_cost,3000000.0,0.21806413623316206
capital_cost,3250000.0,0.2292451761818083
capital_cost,3500000.0,0.24042621613045456
fixed_operating_cost,80000.0,0.20528580486328063
fixed_operating_cost,90000.0,0.21167497054822135
fixed_operating_cost,100000.0,0.21806413623316206
fixed_operating_cost,110000.0,0.22445330191810278
fixed_operating_cost,120000.0,0.2308424676030435
variable_operating_cost,0.015,0.21306413623316206
variable_operating_cost,0.0175,0.21556413623316206
variable_operating_cost,0.02,0.21806413623316206
variable_operating_cost,0.0225,0.22056413623316207
variable_operating_cost,0.025,0.22306413623316207
fixed_charge_rate,0.05,0.1797291421235178
fixed_charge_rate,0.06,0.19889663917833994
fixed_charge_rate,0.07,0.21806413623316206
fixed_charge_rate,0.08,0.2372316332879842
fixed_charge_rate,0.09,0.25639913034280637
dc_ac_ratio,1.1,0.21824789415064802
dc_ac_ratio,1.1500000000000001,0.21815107942135367
dc_ac_ratio,1.2000000000000002,0.21806413623316206
dc_ac_ratio,1.25,0.21801727728045903
dc_ac_ratio,1.3,0.21810144140001328
losses,12.0,0.209017105749454
losses,14.0,0.21342412661154075
losses,16.0,0.21806413623316206
losses,18.0,0.22294411219878452
losses,20.0,0.2280726052936748
