Ubicación,Configuración,Mes,Energía (GWh)
Iquique,default,1,22.357848271848773
Iquique,default,2,19.451341102829787
Iquique,default,3,20.714296063454594
Iquique,default,4,18.116983828383237
Iquique,default,5,15.076368631940454
Iquique,default,6,13.120268414991063
Iquique,default,7,14.174498112351493
Iquique,default,8,17.144064467061984
Iquique,default,9,19.854362583233048
Iquique,default,10,20.901870981067887
Iquique,default,11,23.35810403785061
Iquique,default,12,23.327177442789413
Iquique,high_efficiency,1,18.93056411541184
Iquique,high_efficiency,2,16.39191491156496
Iquique,high_efficiency,3,17.08552746803534
Iquique,high_efficiency,4,14.698022027529499
Iquique,high_efficiency,5,12.257035898150985
Iquique,high_efficiency,6,10.637217428412022
Iquique,high_efficiency,7,11.6764779507937
Iquique,high_efficiency,8,13.981427835331402
Iquique,high_efficiency,9,16.32188593036473
Iquique,high_efficiency,10,17.35255247938672
Iquique,high_efficiency,11,18.867226361530346
Iquique,high_efficiency,12,19.34893868869395
Iquique,optimized_land,1,21.732659801823246
Iquique,optimized_land,2,18.866650518030387
Iquique,optimized_land,3,19.95016171282894
Iquique,optimized_land,4,17.31822921920626
Iquique,optimized_land,5,14.405403811816921
Iquique,optimized_land,6,12.51306980427225
Iquique,optimized_land,7,13.570577324044411
Iquique,optimized_land,8,16.376490512880853
Iquique,optimized_land,9,19.07851839755597
Iquique,optimized_land,10,20.12192750911029
Iquique,optimized_land,11,22.548590750226182
Iquique,optimized_land,12,22.591050390789192
Sevilla,default,1,8.24760719565873
Sevilla,default,2,10.579116533342905
Sevilla,default,3,14.490165819187823
Sevilla,default,4,16.889714218845928
Sevilla,default,5,21.564676860298636
Sevilla,default,6,23.01981566552601
Sevilla,default,7,24.07027625880194
Sevilla,default,8,21.70749213697692
Sevilla,default,9,16.366117962416737
Sevilla,default,10,13.329776936607036
Sevilla,default,11,8.867759788249554
Sevilla,default,12,8.17635919208621
Sevilla,high_efficiency,1,6.491333925879396
Sevilla,high_efficiency,2,8.296282067493204
Sevilla,high_efficiency,3,11.95560388722734
Sevilla,high_efficiency,4,14.238789060709067
Sevilla,high_efficiency,5,17.771837202914856
Sevilla,high_efficiency,6,18.6414945567168
Sevilla,high_efficiency,7,19.321527397168914
Sevilla,high_efficiency,8,17.260658713239838
Sevilla,high_efficiency,9,13.080517515156416
Sevilla,high_efficiency,10,10.570282526506217
Sevilla,high_efficiency,11,6.923231578508162
Sevilla,high_efficiency,12,6.110126100723548
Sevilla,optimized_land,1,7.71666521354247
Sevilla,optimized_land,2,9.904899942581382
Sevilla,optimized_land,3,13.78122244683103
Sevilla,optimized_land,4,16.13535889463567
Sevilla,optimized_land,5,20.626823594698756
Sevilla,optimized_land,6,22.02359206195901
Sevilla,optimized_land,7,23.014175338547066
Sevilla,optimized_land,8,20.597302026890567
Sevilla,optimized_land,9,15.52201825828975
Sevilla,optimized_land,10,12.57704197922201
Sevilla,optimized_land,11,8.29146610762868
Sevilla,optimized_land,12,7.586569878501202
Jodhpur,default,1,13.385838759550087
Jodhpur,default,2,13.22384090520871
Jodhpur,default,3,16.891324188959015
Jodhpur,default,4,16.783083517448812
Jodhpur,default,5,17.386687057385593
Jodhpur,default,6,15.853276170999417
Jodhpur,default,7,14.376889455757286
Jodhpur,default,8,14.120285164483306
Jodhpur,default,9,14.802605897219667
Jodhpur,default,10,15.120714308175213
Jodhpur,default,11,12.521987749861694
Jodhpur,default,12,11.7204926540858
Jodhpur,high_efficiency,1,10.808992982928475
Jodhpur,high_efficiency,2,11.02410225585721
Jodhpur,high_efficiency,3,14.093472216541368
Jodhpur,high_efficiency,4,14.615610281724262
Jodhpur,high_efficiency,5,15.51912575364204
Jodhpur,high_efficiency,6,14.44853730601128
Jodhpur,high_efficiency,7,13.424741629749109
Jodhpur,high_efficiency,8,12.961144862156571
Jodhpur,high_efficiency,9,12.860569202522058
Jodhpur,high_efficiency,10,12.621328652862074
Jodhpur,high_efficiency,11,10.481624690781612
Jodhpur,high_efficiency,12,9.736959106776753
Jodhpur,optimized_land,1,12.775026317549194
Jodhpur,optimized_land,2,12.706895734784263
Jodhpur,optimized_land,3,16.267525640235398
Jodhpur,optimized_land,4,16.327995392259673
Jodhpur,optimized_land,5,16.99835156413811
Jodhpur,optimized_land,6,15.556755371004249
Jodhpur,optimized_land,7,14.097151224976368
Jodhpur,optimized_land,8,13.786647446551898
Jodhpur,optimized_land,9,14.340818023428087
Jodhpur,optimized_land,10,14.55866468337216
Jodhpur,optimized_land,11,12.035848789036816
Jodhpur,optimized_land,12,11.229382788449518
