Latitude (decimal degrees):	-22.459
Longitude (decimal degrees):	-68.927
Elevation (m):	2268
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,19.15,3.86,0.0
20220101:0130,0.0,0.0,18.05,2.41,0.0
20220101:0230,0.0,0.0,16.71,1.38,0.0
20220101:0330,0.0,0.0,16.41,0.62,0.0
20220101:0430,0.0,0.0,15.79,0.07,0.0
20220101:0530,0.0,0.0,15.23,0.48,0.0
20220101:0630,0.0,0.0,14.71,0.55,0.0
20220101:0730,0.0,0.0,14.47,0.41,0.0
20220101:0830,0.0,0.0,13.89,0.55,0.0
20220101:0930,0.0,-5.93,13.35,1.1,0.0
20220101:1030,93.0,6.63,10.63,1.79,0.0
20220101:1130,334.8,19.67,10.74,1.93,0.0
20220101:1230,592.0,33.02,15.8,1.66,0.0
20220101:1330,823.4,46.59,19.43,1.24,0.0
20220101:1430,1005.7,60.28,21.81,1.93,0.0
20220101:1530,1124.55,74.06,23.92,3.38,0.0
20220101:1630,1174.45,87.83,25.44,4.9,0.0
20220101:1730,1067.8,78.26,26.39,6.0,0.0
20220101:1830,1025.45,64.47,26.71,6.69,0.0
20220101:1930,834.8,50.74,27.41,7.1,0.0
20220101:2030,620.75,37.13,26.81,7.38,0.0
20220101:2130,395.05,23.7,25.59,7.38,0.0
20220101:2230,155.95,10.55,23.9,6.97,0.0
20220101:2330,0.0,-2.18,21.65,6.14,0.0
20220102:0030,0.0,0.0,19.35,4.76,0.0
20220102:0130,0.0,0.0,17.77,3.17,0.0
20220102:0230,0.0,0.0,16.48,2.0,0.0
20220102:0330,0.0,0.0,15.0,1.17,0.0
20220102:0430,0.0,0.0,14.97,0.69,0.0
20220102:0530,0.0,0.0,14.35,0.0,0.0
20220102:0630,0.0,0.0,13.84,0.76,0.0
20220102:0730,0.0,0.0,11.87,1.59,0.0
20220102:0830,0.0,0.0,9.81,2.14,0.0
20220102:0930,0.0,-6.06,8.65,2.34,0.0
20220102:1030,91.6,6.5,8.0,2.41,0.0
20220102:1130,333.6,19.55,9.86,2.0,0.0
20220102:1230,591.3,32.91,15.2,1.03,0.0
20220102:1330,823.7,46.47,18.42,0.97,0.0
20220102:1430,1008.05,60.17,20.73,1.93,0.0
20220102:1530,1129.6,73.96,22.78,3.17,0.0
20220102:1630,1171.5,87.75,24.36,4.55,0.0
20220102:1730,1106.4,78.36,25.26,5.45,0.0
20220102:1830,1053.9,64.56,25.77,6.14,0.0
20220102:1930,882.9,50.83,26.16,7.03,0.0
20220102:2030,670.0,37.21,25.55,7.24,0.0
20220102:2130,417.85,23.78,24.52,7.03,0.0
20220102:2230,160.85,10.62,23.11,6.62,0.0
20220102:2330,0.0,-2.12,21.17,5.66,0.0
20220103:0030,0.0,0.0,19.24,4.34,0.0
20220103:0130,0.0,0.0,17.68,3.03,0.0
20220103:0230,0.0,0.0,16.28,2.0,0.0
20220103:0330,0.0,0.0,14.52,1.45,0.0
20220103:0430,0.0,0.0,13.89,1.1,0.0
20220103:0530,0.0,0.0,13.87,0.69,0.0
20220103:0630,0.0,0.0,13.28,0.55,0.0
20220103:0730,0.0,0.0,12.72,0.9,0.0
20220103:0830,0.0,0.0,11.13,1.45,0.0
20220103:0930,0.0,0.0,8.87,1.93,0.0
20220103:1030,92.15,6.38,7.39,2.34,0.0
20220103:1130,338.25,19.42,8.78,2.0,0.0
20220103:1230,600.8,32.79,14.3,1.31,0.0
20220103:1330,837.4,46.36,17.85,0.48,0.0
20220103:1430,1025.45,60.06,20.28,1.31,0.0
20220103:1530,1148.7,73.85,22.49,2.83,0.0
20220103:1630,1198.5,87.66,24.2,4.41,0.0
20220103:1730,1171.75,78.46,25.08,5.66,0.0
20220103:1830,1075.15,64.66,25.5,6.62,0.0
20220103:1930,918.1,50.92,26.28,7.24,0.0
20220103:2030,679.2,37.29,25.7,7.72,0.0
20220103:2130,421.1,23.85,24.63,7.72,0.0
