Latitude (decimal degrees):	26.284
Longitude (decimal degrees):	73.015
Elevation (m):	250
Radiation database:	PVGIS-ERA5


Slope: 31 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,9.91,3.17,0.0
20220101:0130,0.0,-6.09,9.64,3.24,0.0
20220101:0230,192.0,6.0,9.39,3.38,0.0
20220101:0330,455.24,17.23,10.62,3.24,0.0
20220101:0430,691.37,27.13,13.67,3.59,0.0
20220101:0530,852.94,34.95,16.7,3.59,0.0
20220101:0630,959.0,39.7,19.17,3.52,0.0
20220101:0730,975.88,40.5,20.6,3.17,0.0
20220101:0830,907.0,37.16,21.79,2.62,0.0
20220101:0930,759.19,30.38,22.53,2.21,0.0
20220101:1030,542.98,21.17,22.82,2.07,0.0
20220101:1130,273.53,10.38,22.65,2.07,0.0
20220101:1230,0.0,-1.43,21.57,2.14,0.0
20220101:1330,0.0,0.0,19.15,2.9,0.0
20220101:1430,0.0,0.0,17.42,3.24,0.0
20220101:1530,0.0,0.0,16.32,3.59,0.0
20220101:1630,0.0,0.0,15.41,3.79,0.0
20220101:1730,0.0,0.0,14.6,3.86,0.0
20220101:1830,0.0,0.0,13.93,3.86,0.0
20220101:1930,0.0,0.0,13.53,3.59,0.0
20220101:2030,0.0,0.0,13.14,3.45,0.0
20220101:2130,0.0,0.0,12.79,3.24,0.0
20220101:2230,0.0,0.0,12.45,3.1,0.0
20220101:2330,0.0,0.0,12.06,3.1,0.0
20220102:0030,0.0,0.0,11.88,3.1,0.0
20220102:0130,0.0,0.0,11.68,3.24,0.0
20220102:0230,159.81,5.96,11.48,3.38,0.0
20220102:0330,423.21,17.21,12.54,3.31,0.0
20220102:0430,676.16,27.13,15.3,3.72,0.0
20220102:0530,824.67,34.97,18.32,3.66,0.0
20220102:0630,917.77,39.76,20.74,3.72,0.0
20220102:0730,962.82,40.6,22.22,3.86,0.0
20220102:0830,894.74,37.28,23.36,3.66,0.0
20220102:0930,751.5,30.51,24.04,3.31,0.0
20220102:1030,535.98,21.3,24.28,2.83,0.0
20220102:1130,270.96,10.51,24.07,2.62,0.0
20220102:1230,0.0,-1.3,22.94,2.48,0.0
20220102:1330,0.0,0.0,20.51,3.17,0.0
20220102:1430,0.0,0.0,19.04,3.66,0.0
20220102:1530,0.0,0.0,17.94,4.07,0.0
20220102:1630,0.0,0.0,16.92,4.14,0.0
20220102:1730,0.0,0.0,16.02,4.21,0.0
20220102:1830,0.0,0.0,15.28,4.21,0.0
20220102:1930,0.0,0.0,14.78,4.14,0.0
20220102:2030,0.0,0.0,14.29,3.79,0.0
20220102:2130,0.0,0.0,13.78,3.31,0.0
20220102:2230,0.0,0.0,13.15,3.1,0.0
20220102:2330,0.0,0.0,12.52,3.17,0.0
20220103:0030,0.0,0.0,12.07,3.31,0.0
20220103:0130,0.0,0.0,11.76,3.38,0.0
20220103:0230,188.3,5.92,11.5,3.31,0.0
20220103:0330,445.33,17.19,12.65,2.97,0.0
20220103:0430,685.23,27.13,15.7,3.1,0.0
20220103:0530,852.06,35.01,18.72,3.03,0.0
20220103:0630,951.63,39.83,21.23,2.34,0.0
20220103:0730,964.38,40.7,22.88,1.79,0.0
20220103:0830,894.12,37.41,24.06,0.9,0.0
20220103:0930,746.56,30.64,24.74,0.76,0.0
20220103:1030,532.82,21.44,24.97,0.83,0.0
20220103:1130,269.12,10.65,24.74,0.69,0.0
20220103:1230,0.0,-1.17,24.12,0.83,0.0
20220103:1330,0.0,0.0,22.65,1.1,0.0
20220103:1430,0.0,0.0,20.56,1.72,0.0
20220103:1530,0.0,0.0,18.77,2.07,0.0
20220103:1630,0.0,0.0,17.49,2.28,0.0
20220103:1730,0.0,0.0,16.5,2.48,0.0
20220103:1830,0.0,0.0,15.8,2.48,0.0
20220103:1930,0.0,0.0,15.54,2.28,0.0
20220103:2030,0.0,0.0,15.1,2.21,0.0
20220103:2130,0.0,0.0,14.65,2.07,0.0
20220103:2230,0.0,0.0,14.15,1.93,0.0
20220103:2330,0.0,0.0,13.83,2.0,0.0
20220104:0030,0.0,0.0,13.52,2.0,0.0
20220104:0130,0.0,0.0,13.42,2.0,0.0
20220104:0230,165.05,5.89,13.46,2.0,0.0
20220104:0330,416.52,17.18,14.57,1.52,0.0
20220104:0430,654.8,27.14,18.38,1.1,0.0
20220104:0530,833.77,35.05,21.56,0.76,0.0
20220104:0630,761.21,39.91,23.97,0.83,0.0
20220104:0730,401.97,40.81,24.38,1.17,0.0
20220104:0830,608.52,37.54,24.7,1.72,0.0
20220104:0930,682.34,30.79,25.43,1.72,0.0
20220104:1030,446.62,21.58,25.77,1.03,0.0
20220104:1130,187.55,10.79,25.57,0.55,0.0
20220104:1230,0.0,-1.03,24.93,0.28,0.0
20220104:1330,0.0,0.0,23.6,0.97,0.0
20220104:1430,0.0,0.0,21.47,1.17,0.0
20220104:1530,0.0,0.0,19.93,1.52,0.0
20220104:1630,0.0,0.0,19.46,2.21,0.0
20220104:1730,0.0,0.0,19.71,2.97,0.0
20220104:1830,0.0,0.0,19.44,4.0,0.0
20220104:1930,0.0,0.0,19.03,2.48,0.0
20220104:2030,0.0,0.0,18.44,2.28,0.0
20220104:2130,0.0,0.0,18.05,1.93,0.0
20220104:2230,0.0,0.0,17.7,2.0,0.0
20220104:2330,0.0,0.0,17.47,2.48,0.0
20220105:0030,0.0,0.0,17.31,3.03,0.0
20220105:0130,0.0,0.0,17.28,2.69,0.0
20220105:0230,35.62,5.86,17.29,2.48,0.0
20220105:0330,183.99,17.17,17.73,2.34,0.0
20220105:0430,405.58,27.16,19.52,2.55,0.0
20220105:0530,437.26,35.1,21.71,2.69,0.0
20220105:0630,154.58,40.0,23.2,2.76,0.0
20220105:0730,190.85,40.93,20.72,1.38,0.0
20220105:0830,219.53,37.67,20.53,2.14,0.0
20220105:0930,206.8,30.93,19.99,3.24,0.0
20220105:1030,148.38,21.73,19.56,3.45,0.0
20220105:1130,102.68,10.93,19.27,3.17,0.0
20220105:1230,0.0,-0.89,18.92,2.69,0.0
20220105:1330,0.0,0.0,18.29,2.34,0.0
20220105:1430,0.0,0.0,17.61,2.0,0.0
20220105:1530,0.0,0.0,17.16,1.66,0.0
20220105:1630,0.0,0.0,17.05,1.24,0.0
20220105:1730,0.0,0.0,16.93,1.45,0.0
20220105:1830,0.0,0.0,16.51,2.07,0.0
20220105:1930,0.0,0.0,15.39,2.62,0.0
20220105:2030,0.0,0.0,15.03,2.69,0.0
20220105:2130,0.0,0.0,14.62,2.62,0.0
20220105:2230,0.0,0.0,14.1,2.76,0.0
20220105:2330,0.0,0.0,13.72,2.83,0.0
20220106:0030,0.0,0.0,13.35,2.69,0.0
20220106:0130,0.0,0.0,13.16,2.83,0.0
20220106:0230,46.65,5.84,13.01,2.76,0.0
20220106:0330,155.15,17.16,13.18,3.31,0.0
20220106:0430,296.75,27.18,13.94,4.62,0.0
20220106:0530,246.03,35.15,15.68,3.72,0.0
20220106:0630,325.23,40.09,16.5,2.83,0.0
20220106:0730,351.7,41.05,17.61,1.72,0.0
20220106:0830,315.98,37.82,18.41,1.45,0.0
20220106:0930,251.83,31.08,18.77,1.17,0.0
20220106:1030,244.81,21.88,19.09,1.38,0.0
20220106:1130,151.58,11.08,19.06,1.72,0.0
20220106:1230,0.0,-0.75,18.63,1.86,0.0
20220106:1330,0.0,0.0,17.3,2.14,0.0
20220106:1430,0.0,0.0,16.02,2.48,0.0
20220106:1530,0.0,0.0,15.29,2.62,0.0
20220106:1630,0.0,0.0,14.31,2.76,0.0
20220106:1730,0.0,0.0,13.72,2.69,0.0
20220106:1830,0.0,0.0,13.05,2.55,0.0
20220106:1930,0.0,0.0,12.48,2.48,0.0
20220106:2030,0.0,0.0,12.05,2.41,0.0
20220106:2130,0.0,0.0,11.82,2.41,0.0
20220106:2230,0.0,0.0,11.59,2.34,0.0
20220106:2330,0.0,0.0,11.12,2.34,0.0
20220107:0030,0.0,0.0,10.75,2.34,0.0
20220107:0130,0.0,0.0,10.63,2.34,0.0
20220107:0230,99.41,5.82,10.8,2.34,0.0
20220107:0330,238.16,17.17,12.04,2.28,0.0
20220107:0430,537.15,27.21,14.03,2.69,0.0
