Latitude (decimal degrees):	37.387
Longitude (decimal degrees):	-5.984
Elevation (m):	16
Radiation database:	PVGIS-ERA5


Slope: 34 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0030,0.0,0.0,10.57,2.0,0.0
20220101:0130,0.0,0.0,9.74,2.0,0.0
20220101:0230,0.0,0.0,9.27,2.14,0.0
20220101:0330,0.0,0.0,9.0,2.21,0.0
20220101:0430,0.0,0.0,8.72,2.21,0.0
20220101:0530,0.0,0.0,8.34,2.14,0.0
20220101:0630,0.0,0.0,8.01,2.14,0.0
20220101:0730,0.0,-2.29,7.81,2.14,0.0
20220101:0830,300.05,7.8,7.63,2.21,0.0
20220101:0930,555.95,16.6,9.39,1.72,0.0
20220101:1030,753.55,23.59,12.81,1.45,0.0
20220101:1130,871.31,28.11,15.28,1.31,0.0
20220101:1230,903.42,29.6,17.34,1.17,0.0
20220101:1330,856.17,27.83,18.84,0.76,0.0
20220101:1430,721.74,23.06,19.76,0.41,0.0
20220101:1530,508.83,15.89,20.03,0.34,0.0
20220101:1630,256.17,6.95,19.64,0.28,0.0
20220101:1730,0.0,-3.22,18.73,0.21,0.0
20220101:1830,0.0,0.0,17.6,0.41,0.0
20220101:1930,0.0,0.0,13.07,1.79,0.0
20220101:2030,0.0,0.0,11.41,2.07,0.0
20220101:2130,0.0,0.0,10.84,1.72,0.0
20220101:2230,0.0,0.0,10.86,1.31,0.0
20220101:2330,0.0,0.0,10.37,1.17,0.0
20220102:0030,0.0,0.0,9.48,1.17,0.0
20220102:0130,0.0,0.0,8.24,1.45,0.0
20220102:0230,0.0,0.0,7.28,1.72,0.0
20220102:0330,0.0,0.0,6.85,1.86,0.0
20220102:0430,0.0,0.0,6.59,1.79,0.0
20220102:0530,0.0,0.0,6.34,1.86,0.0
20220102:0630,0.0,0.0,6.11,1.79,0.0
20220102:0730,0.0,-2.31,5.67,1.66,0.0
20220102:0830,281.74,7.79,5.57,1.66,0.0
20220102:0930,519.53,16.61,7.91,1.03,0.0
20220102:1030,726.37,23.63,11.87,0.9,0.0
20220102:1130,814.65,28.17,14.47,0.9,0.0
20220102:1230,826.8,29.69,16.43,0.83,0.0
20220102:1330,768.83,27.94,17.84,0.83,0.0
20220102:1430,647.02,23.19,18.69,0.9,0.0
20220102:1530,444.65,16.02,19.07,0.9,0.0
20220102:1630,217.96,7.08,18.77,0.62,0.0
20220102:1730,0.0,-3.09,17.52,0.69,0.0
20220102:1830,0.0,0.0,16.76,0.62,0.0
20220102:1930,0.0,0.0,15.24,0.55,0.0
20220102:2030,0.0,0.0,13.52,0.9,0.0
20220102:2130,0.0,0.0,13.08,0.76,0.0
20220102:2230,0.0,0.0,11.57,1.03,0.0
20220102:2330,0.0,0.0,9.64,1.31,0.0
20220103:0030,0.0,0.0,8.7,1.38,0.0
20220103:0130,0.0,0.0,7.88,1.45,0.0
20220103:0230,0.0,0.0,7.24,1.66,0.0
20220103:0330,0.0,0.0,6.93,1.79,0.0
