Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1370450,-,-,-,-20.23,-70.14,0,11,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Solar Zenith Angle
2022,1,1,0,30,0,0,0,23.200000000000003,2.8000000000000003,104.5
2022,1,1,1,30,0,0,0,22.9,2.2,115.93
2022,1,1,2,30,0,0,0,22.700000000000003,1.8,125.81
2022,1,1,3,30,0,0,0,22.5,1.5,133.16
2022,1,1,4,30,0,0,0,22.3,1.4,136.65
2022,1,1,5,30,0,0,0,22.0,1.3,135.36
2022,1,1,6,30,0,0,0,21.8,1.4,129.67000000000002
2022,1,1,7,30,0,0,0,21.6,1.7000000000000002,120.82
2022,1,1,8,30,0,0,0,21.3,1.8,110.02
2022,1,1,9,30,0,0,0,21.5,2.0,98.04
2022,1,1,10,30,52,32,237,22.6,2.4000000000000004,85.16
2022,1,1,11,30,271,78,627,24.1,2.7,72.11
2022,1,1,12,30,517,101,801,25.8,2.9000000000000004,58.67
2022,1,1,13,30,747,115,895,27.200000000000003,3.4000000000000004,45.02
2022,1,1,14,30,933,123,947,28.200000000000003,3.8,31.26
2022,1,1,15,30,1053,142,955,29.0,4.0,17.47
2022,1,1,16,30,1109,145,967,29.5,4.1000000000000005,4.29
2022,1,1,17,30,1087,143,961,29.9,4.1000000000000005,10.95
2022,1,1,18,30,994,140,939,29.9,4.2,24.67
2022,1,1,19,30,836,131,901,29.6,4.2,38.46
2022,1,1,20,30,627,117,832,28.9,4.1000000000000005,52.18
2022,1,1,21,30,386,96,708,27.8,3.9,65.74
2022,1,1,22,30,146,61,449,26.200000000000003,3.8,79.02
2022,1,1,23,30,0,0,0,25.1,3.7,92.06
2022,1,2,0,30,0,0,0,23.4,2.5,104.44
2022,1,2,1,30,0,0,0,23.0,2.1,115.9
2022,1,2,2,30,0,0,0,22.700000000000003,2.1,125.81
2022,1,2,3,30,0,0,0,22.4,2.3000000000000003,133.19
2022,1,2,4,30,0,0,0,22.1,2.3000000000000003,136.73
2022,1,2,5,30,0,0,0,21.8,2.0,135.48
2022,1,2,6,30,0,0,0,21.700000000000003,1.7000000000000002,129.8
2022,1,2,7,30,0,0,0,21.6,1.2000000000000002,120.96
2022,1,2,8,30,0,0,0,21.4,0.8,110.16
2022,1,2,9,30,0,0,0,21.5,1.0,98.18
2022,1,2,10,30,50,33,200,22.700000000000003,1.7000000000000002,85.29
2022,1,2,11,30,269,82,615,24.700000000000003,2.4000000000000004,72.24
2022,1,2,12,30,520,105,802,26.6,3.0,58.79
2022,1,2,13,30,751,118,898,28.1,3.6,45.14
2022,1,2,14,30,938,128,949,29.1,3.9,31.37
2022,1,2,15,30,1063,139,969,29.6,4.1000000000000005,17.57
2022,1,2,16,30,1119,142,980,30.0,4.4,4.32
2022,1,2,17,30,1100,139,978,30.200000000000003,4.6000000000000005,10.83
2022,1,2,18,30,1003,146,943,30.0,4.7,24.56
2022,1,2,19,30,844,137,902,29.5,4.5,38.36
2022,1,2,20,30,633,122,832,28.700000000000003,4.3,52.09
2022,1,2,21,30,391,100,706,27.5,4.2,65.65
2022,1,2,22,30,97,72,133,25.700000000000003,4.2,78.95
2022,1,2,23,30,0,0,0,24.6,4.3,92.0
2022,1,3,0,30,0,0,0,22.9,3.6,104.4
2022,1,3,1,30,0,0,0,22.6,3.3000000000000003,115.87
2022,1,3,2,30,0,0,0,22.4,3.2,125.81
2022,1,3,3,30,0,0,0,22.1,2.9000000000000004,133.24
2022,1,3,4,30,0,0,0,21.8,2.3000000000000003,136.81
2022,1,3,5,30,0,0,0,21.700000000000003,1.8,135.59
2022,1,3,6,30,0,0,0,21.5,1.4,129.94
2022,1,3,7,30,0,0,0,21.3,1.4,121.11
2022,1,3,8,30,0,0,0,21.1,1.4,110.3
2022,1,3,9,30,0,0,0,21.3,1.5,98.31
2022,1,3,10,30,46,34,147,22.200000000000003,1.8,85.42
2022,1,3,11,30,103,103,0,23.6,2.3000000000000003,72.37
2022,1,3,12,30,416,189,441,25.3,2.9000000000000004,58.91
2022,1,3,13,30,736,132,858,26.700000000000003,3.6,45.26
2022,1,3,14,30,925,143,917,27.9,4.1000000000000005,31.48
2022,1,3,15,30,1038,188,892,28.5,4.4,17.66
2022,1,3,16,30,1093,188,907,28.9,4.6000000000000005,4.3500000000000005
2022,1,3,17,30,1076,185,906,29.0,4.7,10.7
2022,1,3,18,30,973,204,845,28.8,4.800000000000001,24.45
2022,1,3,19,30,816,191,796,28.4,5.0,38.27
2022,1,3,20,30,608,169,714,27.6,5.0,52.0
2022,1,3,21,30,370,136,567,26.4,4.9,65.57000000000001
2022,1,3,22,30,137,80,299,24.9,4.6000000000000005,78.88
2022,1,3,23,30,0,0,0,24.1,4.4,91.94
2022,1,4,0,30,0,0,0,23.0,3.3000000000000003,104.36
2022,1,4,1,30,0,0,0,22.9,2.8000000000000003,115.85
