Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure
2022,1,1,0,30,0,0,0,10,0.3,9860
2022,1,1,1,30,0,0,0,10,0.3,9860
2022,1,1,2,30,0,0,0,9,0.3,9860
2022,1,1,3,30,0,0,0,9,0.3,9860
2022,1,1,4,30,0,0,0,8,0.2,9860
2022,1,1,5,30,0,0,0,11,0.3,9850
2022,1,1,6,30,0,0,0,11,0.3,9860
2022,1,1,7,30,0,0,0,12,0.3,9860
2022,1,1,8,30,161,79,400,15,0.2,9870
2022,1,1,9,30,360,120,626,19,0.2,9870
2022,1,1,10,30,529,144,738,25,0.2,9870
2022,1,1,11,30,645,158,794,28,0.2,9860
2022,1,1,12,30,694,163,815,30,0.1,9850
2022,1,1,13,30,671,160,806,30,0.1,9840
2022,1,1,14,30,579,150,764,30,0.1,9840
2022,1,1,15,30,427,131,677,28,0.1,9840
2022,1,1,16,30,235,97,504,25,0.1,9840
2022,1,1,17,30,27,27,0,22,0.2,9840
2022,1,1,18,30,0,0,0,21,0.2,9850
2022,1,1,19,30,0,0,0,20,0.3,9860
2022,1,1,20,30,0,0,0,19,0.3,9860
2022,1,1,21,30,0,0,0,18,0.3,9860
2022,1,1,22,30,0,0,0,17,0.3,9860
2022,1,1,23,30,0,0,0,16,0.3,9860
2022,1,2,0,30,0,0,0,15,0.3,9860
2022,1,2,1,30,0,0,0,15,0.3,9860
2022,1,2,2,30,0,0,0,14,0.3,9860
2022,1,2,3,30,0,0,0,14,0.3,9860
2022,1,2,4,30,0,0,0,13,0.3,9860
2022,1,2,5,30,0,0,0,13,0.3,9860
2022,1,2,6,30,0,0,0,12,0.3,9870
2022,1,2,7,30,0,0,0,13,0.3,9880
2022,1,2,8,30,157,80,376,16,0.3,9880
2022,1,2,9,30,357,120,622,20,0.2,9880
2022,1,2,10,30,505,143,693,26,0.2,9880
2022,1,2,11,30,623,164,748,29,0.1,9870
2022,1,2,12,30,690,162,808,30,0.0,9860
2022,1,2,13,30,667,160,798,31,0.0,9860
2022,1,2,14,30,576,150,756,30,0.0,9850
2022,1,2,15,30,425,130,669,28,0.0,9850
2022,1,2,16,30,234,97,498,25,0.1,9850
2022,1,2,17,30,25,25,0,22,0.2,9850
2022,1,2,18,30,0,0,0,21,0.2,9850
2022,1,2,19,30,0,0,0,20,0.3,9860
2022,1,2,20,30,0,0,0,19,0.3,9860
2022,1,2,21,30,0,0,0,18,0.3,9870
2022,1,2,22,30,0,0,0,17,0.3,9870
2022,1,2,23,30,0,0,0,17,0.3,9860
2022,1,3,0,30,0,0,0,16,0.3,9860
2022,1,3,1,30,0,0,0,15,0.3,9860
2022,1,3,2,30,0,0,0,14,0.2,9850
2022,1,3,3,30,0,0,0,14,0.2,9850
2022,1,3,4,30,0,0,0,13,0.2,9850
2022,1,3,5,30,0,0,0,13,0.2,9850
2022,1,3,6,30,0,0,0,12,0.2,9860
2022,1,3,7,30,0,0,0,13,0.2,9870
2022,1,3,8,30,156,83,358,17,0.2,9870
2022,1,3,9,30,359,120,625,21,0.1,9880
2022,1,3,10,30,518,133,738,26,0.0,9880
2022,1,3,11,30,631,144,793,29,0.0,9870
2022,1,3,12,30,674,154,796,30,0.0,9860
2022,1,3,13,30,677,161,810,30,0.0,9850
2022,1,3,14,30,586,151,770,29,0.1,9840
2022,1,3,15,30,434,132,684,28,0.1,9840
2022,1,3,16,30,241,98,513,25,0.1,9840
2022,1,3,17,30,32,30,17,21,0.2,9840
2022,1,3,18,30,0,0,0,20,0.2,9850
2022,1,3,19,30,0,0,0,19,0.2,9850
2022,1,3,20,30,0,0,0,18,0.2,9850
2022,1,3,21,30,0,0,0,18,0.2,9850
2022,1,3,22,30,0,0,0,17,0.2,9850
2022,1,3,23,30,0,0,0,16,0.2,9850
2022,1,4,0,30,0,0,0,15,0.2,9840
2022,1,4,1,30,0,0,0,15,0.2,9840
2022,1,4,2,30,0,0,0,14,0.2,9840
