Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,182708,-,-,-,37.37,-5.98,0,14,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure,Solar Zenith Angle
2022,1,1,0,30,0,0,0,6.7,1.5,1026,165.41
2022,1,1,1,30,0,0,0,6.300000000000001,1.6,1026,162.36
2022,1,1,2,30,0,0,0,6.0,1.6,1027,152.81
2022,1,1,3,30,0,0,0,5.7,1.5,1027,141.4
2022,1,1,4,30,0,0,0,5.4,1.6,1027,129.53
2022,1,1,5,30,0,0,0,5.1000000000000005,1.6,1027,117.67
2022,1,1,6,30,0,0,0,4.800000000000001,1.7000000000000002,1027,106.06
2022,1,1,7,30,0,0,0,5.1000000000000005,1.8,1028,94.95
2022,1,1,8,30,73,28,470,6.9,2.0,1028,84.46000000000001
2022,1,1,9,30,235,49,736,9.0,1.9,1029,75.37
2022,1,1,10,30,380,59,850,11.4,1.8,1029,67.89
2022,1,1,11,30,477,63,902,14.2,2.4000000000000004,1029,62.68
2022,1,1,12,30,347,243,210,16.400000000000002,2.2,1028,60.39
2022,1,1,13,30,498,65,903,17.5,1.9,1027,61.34
2022,1,1,14,30,420,61,861,17.7,1.9,1026,65.39
2022,1,1,15,30,295,54,781,16.6,1.7000000000000002,1026,72.01
2022,1,1,16,30,137,39,596,13.5,1.2000000000000002,1026,80.51
2022,1,1,17,30,0,0,0,10.8,1.5,1026,89.94
2022,1,1,18,30,0,0,0,9.6,1.8,1027,101.33
2022,1,1,19,30,0,0,0,8.9,2.1,1028,112.76
2022,1,1,20,30,0,0,0,8.1,2.1,1028,124.55
2022,1,1,21,30,0,0,0,7.4,2.0,1028,136.45
2022,1,1,22,30,0,0,0,6.800000000000001,1.7000000000000002,1028,148.13
2022,1,1,23,30,0,0,0,6.300000000000001,1.5,1028,158.74
2022,1,2,0,30,0,0,0,5.800000000000001,1.5,1028,165.31
2022,1,2,1,30,0,0,0,5.5,1.4,1028,162.35
2022,1,2,2,30,0,0,0,5.300000000000001,1.5,1028,152.84
2022,1,2,3,30,0,0,0,5.5,1.6,1027,141.45000000000002
2022,1,2,4,30,0,0,0,5.7,1.8,1027,129.58
2022,1,2,5,30,0,0,0,5.9,2.1,1027,117.71
2022,1,2,6,30,0,0,0,6.0,2.2,1028,106.1
2022,1,2,7,30,0,0,0,6.4,2.1,1028,94.98
2022,1,2,8,30,69,31,388,8.1,2.6,1028,84.47
2022,1,2,9,30,226,56,674,10.6,2.8000000000000003,1029,75.37
2022,1,2,10,30,366,66,796,13.3,2.9000000000000004,1029,67.86
2022,1,2,11,30,461,70,849,15.7,3.0,1028,62.63
2022,1,2,12,30,501,71,867,17.2,3.1,1027,60.31
2022,1,2,13,30,483,69,861,18.0,3.1,1027,61.24
2022,1,2,14,30,408,63,825,18.2,2.9000000000000004,1026,65.27
2022,1,2,15,30,283,60,714,17.2,2.4000000000000004,1026,71.87
2022,1,2,16,30,131,42,532,14.5,1.3,1026,80.37
2022,1,2,17,30,0,0,0,12.0,1.3,1026,89.83
2022,1,2,18,30,0,0,0,11.2,1.4,1027,101.2
2022,1,2,19,30,0,0,0,10.5,1.5,1027,112.62
2022,1,2,20,30,0,0,0,9.9,1.5,1027,124.41
2022,1,2,21,30,0,0,0,9.4,1.4,1027,136.31
